M1-1	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8
M1-2	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684
M1-3	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778
M1-4	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526
M1-5	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6
M1-6	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368
M1-7	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556
M1-8	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211
M1-9	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4
M1-10	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211
M1-11	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556
M1-12	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368
M1-13	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6
M1-14	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526
M1-15	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778
M1-16	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684
M1-17	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8
M1-18	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842
M1-19	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1
M1-20	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1
M1-21	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1
M1-22	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1
M1-23	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1
M1-24	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842
M1-25	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4
M1-26	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235
M1-27	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571
M1-28	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235
M1-29	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4
M1-30	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235
M1-31	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571
M1-32	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235
M1-33	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4
M1-34	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235
M1-35	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571
M1-36	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235
M1-37	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4
M1-38	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235
M1-39	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571
M1-40	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235
M1-41	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4
M1-42	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824
M1-43	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1
M1-44	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1
M1-45	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1
M1-46	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1
M1-47	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1
M1-48	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824
M1-49	1	1	0.4	0.4	0.4	1	1	1	0.4	0.4	0.4	1
M1-50	1	1	0.55	0.4	0.4	0.85	1	1	0.55	0.4	0.4	0.85
